Date,Open,High,Low,Close,Adj Close,Volume,,
12/01/2023,144.880005,146.660004,144.520004,145.550003,143.783875,2715900,,
13/01/2023,144.059998,146.100006,144.009995,145.889999,144.119751,2455700,,
17/01/2023,146.419998,147.179993,145.009995,145.190002,143.428253,2986500,,
18/01/2023,144.399994,144.679993,140.229996,140.410004,138.706253,6445600,,
19/01/2023,140,142.229996,139.75,140.619995,138.913696,4833900,,
20/01/2023,141.669998,141.860001,140.509995,141.199997,139.486664,7152700,,
23/01/2023,141.399994,142.990005,141.059998,141.860001,140.138657,5898400,,
24/01/2023,141.25,142.75,140,141.490005,139.773148,4407600,,
25/01/2023,140.470001,141.029999,139.360001,140.759995,139.051987,7347500,,
26/01/2023,137.529999,138.270004,132.979996,134.449997,132.818558,17548500,,
27/01/2023,134.440002,135.490005,133.770004,134.389999,132.759293,8140700,,
30/01/2023,134.320007,136.110001,133.979996,135.300003,133.658249,5375700,,
31/01/2023,135.5,135.649994,133.759995,134.729996,133.095169,7206400,,
01/02/2023,134.490005,135.789993,132.800003,135.089996,133.45079,5428900,,
02/02/2023,135.960007,136.720001,134.850006,136.389999,134.735031,6107800,,
03/02/2023,136.350006,136.949997,135.529999,136.940002,135.278351,3754500,,
06/02/2023,135.830002,136.320007,134.949997,136.179993,134.527573,4841300,,
07/02/2023,135.669998,136.399994,134.449997,135.839996,134.191696,3737600,,
08/02/2023,135.710007,136.740005,135.160004,135.979996,134.330002,4593700,,
09/02/2023,134.990005,135.729996,133.339996,133.75,133.75,3918800,,
10/02/2023,133.779999,135.770004,133.5,135.600006,135.600006,5049300,,
13/02/2023,136,137.389999,135.850006,137.350006,137.350006,4403000,,
14/02/2023,137.050003,137.240005,135.050003,136.009995,136.009995,3202200,,
15/02/2023,135.199997,136.449997,135.070007,136.399994,136.399994,2507000,,
16/02/2023,135.570007,135.970001,134.589996,135,135,2965500,,
17/02/2023,134.5,135.580002,133.889999,135.020004,135.020004,3465200,,
21/02/2023,134,134.389999,131.660004,131.710007,131.710007,4256600,,
